Naam,Adres,Postcode,Plaats,Opgericht,Klanten,Domeinen,Servers,Medewerkers (fte),NPS (%),Resellers toegestaan,Geschatte omzet (*miljoen euro),Diensten
Koopjeserver.nl,Beekdal 16,5434RD,Vianen,01-08-2015,350,450,83,8.0,100,1,1.6,"Domeinnaam, Domein reselling, Webhosting, Webhosting reselling, Dedicated server, Virtual Private Server, Gameserver, SSL-Certificaat, VoIP-telefonie, Netwerk connectiviteit, Online backup, Managed server, E-mail hosting."
Sebsoft BV,Dam Bustersstraat 8,4651 SJ,Steenbergen,01-06-2000,300,Geen opgave,Geen opgave,6.0,100,1,1.2,"Domeinnaam, Domein reselling, Webhosting, Webhosting reselling, Colocatie, Dedicated server, SSL-Certificaat, Managed server."
A1 Internet BV,Pluto 3,8448 CM,Heerenveen,01-03-1995,3121,3856,18,9.0,-100,1,1.8,"Domeinnaam, Domein reselling, Webhosting, Webhosting reselling, Streaming media, Colocatie, Dedicated server, Virtual Private Server, SSL-Certificaat, Breedband internet, VoIP-telefonie, Netwerk connectiviteit, Online backup, Managed server, E-mail hosting."
IS Group B.V.,Wielingenstraat 8,1441 ZR,Purmerend,01-11-1996,Geen opgave,Geen opgave,Geen opgave,160.0,100,,32.0,"Domeinnaam, Webhosting, Streaming media, Colocatie, Dedicated server, Breedband internet, Netwerk connectiviteit."
Server Nation,De Trompet 1625,1967 DB,Heemskerk,01-01-2000,4795,32701,78,8.0,-100,1,1.6,"Domeinnaam, Domein reselling, Webhosting, Webhosting reselling, Dedicated server, Virtual Private Server, SSL-Certificaat, Netwerk connectiviteit, Managed server."
MuntInternet Networks B.V.,Oosterdijk 39,8601BP,Sneek,01-01-1998,Geen opgave,Geen opgave,Geen opgave,9.0,100,1,1.8,"Domeinnaam, Webhosting, Webhosting reselling, Streaming media, Colocatie, Dedicated server, Virtual Private Server, Gameserver, SSL-Certificaat, VoIP-telefonie, Netwerk connectiviteit, Online backup, Managed server, E-mail hosting."
Mundohost Webhosting,Postbus 4258,6202WC,Maastricht,01-12-2008,Geen opgave,Geen opgave,Geen opgave,5.0,100,,1.0,"Domeinnaam, Webhosting, Streaming media, VoIP-telefonie, Online backup."
Rikembregtshosting,Overakkerstraat 246,4834XR,Breda,01-01-2011,750,892,93,8.0,100,1,1.6,"Domeinnaam, Domein reselling, Webhosting, Webhosting reselling, Colocatie, Dedicated server, Virtual Private Server, Online backup."
Vandaag Telecom,Nipkowlaan 11,9207 JA,DRACHTEN,31-08-2012,Geen opgave,Geen opgave,Geen opgave,25.0,100,,5.0,"Colocatie, Dedicated server, Virtual Private Server, Breedband internet, VoIP-telefonie, Netwerk connectiviteit, Managed server, E-mail hosting."
ISP Services,Oranjesingel 76,6511 NZ,Nijmegen,01-01-1997,Geen opgave,Geen opgave,Geen opgave,26.0,100,,5.2,"Domeinnaam, Webhosting, Colocatie, Dedicated server, SSL-Certificaat, Breedband internet, Netwerk connectiviteit, Online backup, Managed server."
Deactro,Edisonring 6a,6669NB,Dodewaard,26-09-2001,Geen opgave,Geen opgave,10,6.0,100,,1.2,"Domeinnaam, Webhosting, Dedicated server, Virtual Private Server, SSL-Certificaat, Online backup, Managed server."
24hosted BV,Marowijnestraat 37,9715RA,Groningen,28-05-2006,500,1500,25,5.0,100,1,1.0,"Domeinnaam, Domein reselling, Webhosting, Webhosting reselling, Colocatie, Dedicated server, Virtual Private Server, SSL-Certificaat, VoIP-telefonie, Online backup, Managed server, E-mail hosting."
NedStars,Parmentierweg 14,5657 EH,Eindhoven,01-10-2000,Geen opgave,Geen opgave,Geen opgave,20.0,-100,1,4.0,"Domeinnaam, Domein reselling, Webhosting, Webhosting reselling, Streaming media, Colocatie, Dedicated server, Virtual Private Server, Gameserver, SSL-Certificaat, VoIP-telefonie, Netwerk connectiviteit, Online backup, Managed server."
MultiServe,Stationsplein 32,3112HJ,Schiedam,04-09-2006,Geen opgave,Geen opgave,Geen opgave,36.0,-100,,7.2,"Domeinnaam, Webhosting, Dedicated server, Virtual Private Server."
Dutch Identity,Cosijnstraat 18,2313 NC,Leiden,19-11-2007,Geen opgave,Geen opgave,Geen opgave,36.0,-100,1,7.2,"Domeinnaam, Domein reselling, Webhosting, Webhosting reselling, Dedicated server."
